2018-01-23 00:52:25 startup packages remove
2018-01-23 00:52:25 status installed grub-gfxpayload-lists:amd64 0.7
2018-01-23 00:52:25 status installed grub-pc:amd64 2.02~beta2-36ubuntu3.15
2018-01-23 00:52:25 status installed grub-gfxpayload-lists:amd64 0.7
2018-01-23 00:52:25 status installed grub-pc:amd64 2.02~beta2-36ubuntu3.15
2018-01-23 00:52:25 status installed grub-gfxpayload-lists:amd64 0.7
2018-01-23 00:52:25 status installed grub-pc:amd64 2.02~beta2-36ubuntu3.15
2018-01-23 00:52:25 status installed grub-gfxpayload-lists:amd64 0.7
2018-01-23 00:52:25 remove grub-gfxpayload-lists:amd64 0.7 <none>
2018-01-23 00:52:25 status half-configured grub-gfxpayload-lists:amd64 0.7
2018-01-23 00:52:25 status half-installed grub-gfxpayload-lists:amd64 0.7
2018-01-23 00:52:25 status triggers-pending man-db:amd64 2.7.5-1
2018-01-23 00:52:25 status config-files grub-gfxpayload-lists:amd64 0.7
2018-01-23 00:52:25 status config-files grub-gfxpayload-lists:amd64 0.7
2018-01-23 00:52:25 status config-files grub-gfxpayload-lists:amd64 0.7
2018-01-23 00:52:25 status not-installed grub-gfxpayload-lists:amd64 <none>
2018-01-23 00:52:25 status installed grub-pc:amd64 2.02~beta2-36ubuntu3.15
2018-01-23 00:52:25 remove grub-pc:amd64 2.02~beta2-36ubuntu3.15 <none>
2018-01-23 00:52:25 status half-configured grub-pc:amd64 2.02~beta2-36ubuntu3.15
2018-01-23 00:52:26 status half-installed grub-pc:amd64 2.02~beta2-36ubuntu3.15
2018-01-23 00:52:26 status config-files grub-pc:amd64 2.02~beta2-36ubuntu3.15
2018-01-23 00:52:26 status config-files grub-pc:amd64 2.02~beta2-36ubuntu3.15
2018-01-23 00:52:26 trigproc man-db:amd64 2.7.5-1 <none>
2018-01-23 00:52:26 status half-configured man-db:amd64 2.7.5-1
2018-01-23 00:52:26 status installed man-db:amd64 2.7.5-1
2018-01-23 00:52:26 startup archives unpack
2018-01-23 00:52:26 install libefivar0:amd64 <none> 0.23-2
2018-01-23 00:52:26 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-01-23 00:52:26 status half-installed libefivar0:amd64 0.23-2
